	DF_1	DF_2	DF_3	DF_4	DF_5	DF_6																																																																																																																																																																																																																																																																																																																																																																											
227	Q33_Part_8	Q36_Part_7	Q38_A_Part_7	Q37_11																																																																																																																																																																																																																																																																																																																																																																													
228	Q33_Part_9	Q36_Part_8	Q38_A_Part_8	Q37_12																																																																																																																																																																																																																																																																																																																																																																													
229	Q33_Part_10	Q36_Part_9	Q38_A_Part_9	Q37_13																																																																																																																																																																																																																																																																																																																																																																													
230	Q33_Part_11	Q36_OTHER	Q38_A_Part_10	Q38_1																																																																																																																																																																																																																																																																																																																																																																													
231	Q33_Part_12	Q37_Part_1	Q38_A_Part_11	Q38_2																																																																																																																																																																																																																																																																																																																																																																													
232	Q33_OTHER_TEXT	Q37_Part_2	Q38_A_OTHER	Q38_3																																																																																																																																																																																																																																																																																																																																																																													
233	Q34_Part_1	Q37_Part_3	Q39_Part_1	Q38_4																																																																																																																																																																																																																																																																																																																																																																													
234	Q34_Part_2	Q37_Part_4	Q39_Part_2	Q38_5																																																																																																																																																																																																																																																																																																																																																																													
235	Q34_Part_3	Q37_Part_5	Q39_Part_3	Q38_6																																																																																																																																																																																																																																																																																																																																																																													
236	Q34_Part_4	Q37_Part_6	Q39_Part_4	Q38_7																																																																																																																																																																																																																																																																																																																																																																													
237	Q34_Part_5	Q37_Part_7	Q39_Part_5	Q38_8																																																																																																																																																																																																																																																																																																																																																																													
238	Q34_Part_6	Q37_Part_8	Q39_Part_6	Q39_1																																																																																																																																																																																																																																																																																																																																																																													
239	Q34_Part_7	Q37_Part_9	Q39_Part_7	Q39_2																																																																																																																																																																																																																																																																																																																																																																													
240	Q34_Part_8	Q37_Part_10	Q39_Part_8	Q39_3																																																																																																																																																																																																																																																																																																																																																																													
241	Q34_Part_9	Q37_Part_11	Q39_Part_9	Q39_4																																																																																																																																																																																																																																																																																																																																																																													
242	Q34_Part_10	Q37_OTHER	Q39_OTHER	Q39_5																																																																																																																																																																																																																																																																																																																																																																													
243	Q34_Part_11	Q38	Q40_Part_1	Q39_6																																																																																																																																																																																																																																																																																																																																																																													
244	Q34_Part_12	Q39_Part_1	Q40_Part_2	Q39_7																																																																																																																																																																																																																																																																																																																																																																													
245	Q34_OTHER_TEXT	Q39_Part_2	Q40_Part_3	Q39_8																																																																																																																																																																																																																																																																																																																																																																													
