City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Company size,Annual gross salary without bonus and stocks in EUR,Annual gross salary with bonus and stocks in EUR,Annual gross salary+bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company_layoffs,Work From Home allowance,Did you already find a new job?,employment_status_change_in_2023,Do you currently search for a job?,How long have you been unemployed? (in months),company_hire_in_2023,company_industry,change_jobs,tc_new_job,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool,ai_other_tools
Berlin,,Full/Part-time employee,Software Engineer,,20,8,Senior,,JavaScript / Typescript,,,1.00,English,1000+,115,160,80,30,,,,,40,,No,over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,10,2,Senior,,C / C++,,"C / C++,Python",2.00,"English,Russian",101-1000,115000,30000,30000,20,,,,,40,,"Yes, in 2022",100 - 500,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Frontend Developer,,7,4,Senior,,JavaScript / Typescript,,"Python,AWS,PHP,Javascript / Typescript, React,NodeJS",1.00,English,1000+,81000,90000,90000,40,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Unemployed,Designer (UI/UX),,13,5,Senior,,Other,,,3.00,English,51-100,,,,,,,,,,"Yes, I am NOT satisfied with a severance package","Yes, both in 2022-2023",No,,Full/Part-time employee,"Yes, actively ",10,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,21,11,Head / Principal,,JavaScript / Typescript,,"Rust,Docker,Other",0.45,English,up to 10,120000,30000,120000,20,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","1,0",Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,QA Engineer,,8,5,Senior,,JavaScript / Typescript,,SQL,5.00,English,11-50,65000,65000,54000,28,,,,,40,,No,No,,No,,,Yes,Healthcare,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Product Manager,,10,1,Lead / Staff,,Kotlin,,"Python,Kotlin,Java / Scala,Kubernetes,Terraform,Docker,AWS,Google Cloud,Azure",2.00,"English,Russian",1000+,200000,300000,280000,30,,,,,40,,No,100 - 500,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,Other,JetBrains AI
Berlin,,Full/Part-time employee,Software Engineer,,6,3,Senior,,PHP,,"Go,SQL,AWS,Terraform,Docker",3.00,English,101-1000,73000,73000,73000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,Retail and Consumer Services,No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,7,4,Senior,,JavaScript / Typescript,,Ruby,4.00,"Russian,English",101-1000,82000,0,82000,26,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Aachen,,Full/Part-time employee,Software Engineer,,20,1,Middle,,Java,,"Perl,Python",0.25,"English,Russian",1000+,87000,100000,,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Scrum Master / Agile Coach,,4,1,Middle,,C# / .NET,,SQL,1.00,English,1000+,80000,82000,,,,,,,40,,I dont know,No,,Full/Part-time employee,,,Yes,Financial Services,Yes,better than it was,"Involuntarily, I was forced to look for a new job","1,0",,,,
Berlin,,Full/Part-time employee,Software / Solutions Architect,,3,1,Middle,,Python,,"Python,AWS,Google Cloud,Azure,SQL",0.70,English,11-50,65000,65000,,28,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","4,0",Moderate but noticeable,Yes,ChatGPT,
Frankfurt,,Full/Part-time employee,Software Engineer,,15,7,Senior,,NodeJS,,"PHP,NodeJS,Docker,SQL,Javascript / Typescript,Kubernetes",7.00,English,101-1000,80000,0,0,26,,,,,40,No,"Yes, in 2023",up to 100 euro,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Data Scientist,,6,1,Senior,,Python,,"C / C++,Docker,AWS",1.00,English,11-50,65000,70000,,25,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Designer (UI/UX),,12,3,Lead / Staff,,Other,,,5.00,"English,Russian",1000+,90000,100000,90000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","2,0",Moderate but noticeable,Yes,ChatGPT,
Berlin,,Self-employed (freelancer),Software Engineer,,14,14,Lead / Staff,,JavaScript / Typescript,,"Javascript / Typescript, React,NodeJS,Google Cloud,AWS,Docker",1.00,English,101-1000,,,,,100,2904,0,,60,,I dont know,No,,Self-employed (freelancer),,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,"Involuntarily, I was forced to look for a new job","6,0",Invisible,No,,
Berlin,,Unemployed,C-level (CTO / CEO / ...),,17,10,Head / Principal,,JavaScript / Typescript,,"Kotlin, React,Javascript / Typescript,AWS",3.00,English,up to 10,,,,,,,,,,No,"Yes, in 2023",No,,Founder,"Yes, passively ",9,No,Other,No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software Engineer,,5,1,Middle,,Python,,"Terraform,Other",,Russian,101-1000,100000,120000,,32,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Frontend Developer,,3,3,Junior,,JavaScript / Typescript,," React,Javascript / Typescript,Other",0.50,German,51-100,45000,45000,40000,28,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","4,0",Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,7,3,Senior,,Kotlin,,"Go,AWS,Kubernetes,Terraform,Docker,Java / Scala",0.25,"English,Russian",1000+,110000,130000,110000,28,,,,,40,No,"Yes, both in 2022-2023",No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","2,0",Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,DevOps,,17,8,Senior,,Bash,,"Python,SQL,Go,Perl,Kubernetes,AWS,Terraform,Docker,Other",2.50,"English,Other",101-1000,95000,103000,92500,26,,,,,40,,No,up to 100 euro,,No,,,Yes,Advertising Services,No,,,,Invisible,Yes,"Copilot,ChatGPT",
Munich,,Full/Part-time employee,Frontend Developer,,12,8,Senior,,JavaScript / Typescript,,,4.00,"German,English",1000+,94100,102000,94000,32,,,,,38,,No,No,,No,,,Yes,Oil & Gas,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Head / Principal / VP,,25,21,Head / Principal,,NodeJS,,"Python,Javascript / Typescript,NodeJS, React,SQL,Go,AWS,Docker",3.00,"German,English,Russian",1000+,160000,160000,150000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2023",No,,No,,,"Yes, but only for backfilling",Other,No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Data Scientist,,10,6,Senior,,Python,,"SQL,AWS,Kubernetes,Docker",2.00,"English,German,Russian",101-1000,93000,103000,98000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Munich,,Full/Part-time employee,Software Engineer,,3,0,Middle,,C / C++,,C# / .NET core,1.00,English,1000+,100000,5000,,30,,,,,40,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Berlin,,Full/Part-time employee,Head / Principal / VP,,17,4,Head / Principal,,SQL,,"Python,Google Cloud,Terraform,Docker",1.00,English,51-100,95000,108000,108000,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling",Healthcare,No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,25,7,Senior,,Scala,,AWS,7.00,English,1000+,90000,90000,88000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Unemployed,Other,Unemployed,2,0,Junior,,C# / .NET,,"Javascript / Typescript,NodeJS,Ruby,.NET,SQL,AWS",0.00,English,up to 10,,,,,,,,,,,I dont know,No,,No,"Yes, actively ",8,I dont know,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,"Involuntarily, I was forced to look for a new job","0,0",Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Engineering Manager,,15,11,Middle,,Go,,,1.50,English,1000+,124200,124200,120000,32,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Engineering Manager,,18,9,Lead / Staff,,Java,,"Kotlin,Javascript / Typescript,SQL,Kubernetes",9.00,English,1000+,107753,131953,127232,30,,,,,40,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Cologne,,Full/Part-time employee,Mobile Developer,,11,8,Senior,,Kotlin,,,0.50,English,101-1000,85000,95000,62000,28,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","7,0",Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,16,9,Senior,,C / C++,,Rust,4.00,English,1000+,130000,160000,104000,30,,,,,40,,"Yes, in 2022",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,No,,
Berlin,,Full/Part-time employee,Software Engineer,,5,0,Middle,,Java,,"SQL,AWS,Kubernetes,Terraform,Docker",3.25,English,1000+,78000,78000,39000,28,,,,,40,,I dont know,No,,No,,,I dont know,Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Backend Developer,,11,3,Senior,,Python,,"SQL,Go,Google Cloud,Azure,Kubernetes,Terraform,Docker",0.60,English,11-50,78000,7000,135000,30,,,,,42,"Yes, I am satisfied with a severance package","Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,"Involuntarily, I was forced to look for a new job","2,0",Great,Yes,"ChatGPT,Copilot",
Frankfurt,,Full/Part-time employee,Software Engineer,,7,0,Middle,,C / C++,,"Python,Go",0.00,English,1000+,75000,82500,,30,,,,,39,,I dont know,No,,Unemployed,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","2,0",Great,Yes,ChatGPT,
Karlsruhe,,Full/Part-time employee,Software Engineer,,10,3,Senior,,C# / .NET,," React,Ruby,AWS,Docker,Kubernetes",3.00,English,1000+,77000,96000,98000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Munich,,Full/Part-time employee,Software Engineer,,15,1,Middle,,Go,,"Python,Docker,Kubernetes,Other",1.00,"English,Russian",1000+,101000,130000,,30,,,,,40,,No,over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,15,8,Lead / Staff,,Java,,"Javascript / Typescript,PHP,Angular,SQL,Docker",8.00,English,1000+,94500,108000,110500,30,,,,,32,,No,100 - 500,,No,,,Yes,Advertising Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,BI Developer / Data Engineer,,15,4,Senior,,SQL,,"Google Cloud,Other,Kubernetes,Terraform,Docker,Go,Python",2.00,English,up to 10,85000,115000,85000,30,,,,,40,No,"Yes, in 2023",up to 100 euro,,No,,,No,Retail and Consumer Services,No,,,,Invisible,Yes,"ChatGPT,Copilot",
Dusseldorf,,Full/Part-time employee,Frontend Developer,,4,0,Middle,,JavaScript / Typescript,," React,NodeJS",2.00,"Russian,English",11-50,84000,84000,,35,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,17,3,Senior,,NodeJS,,"Javascript / Typescript,Go,SQL,NodeJS,AWS,Kubernetes,Terraform",2.00,English,up to 10,89000,0,,21,,,,,40,,No,No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Other,Product Analyst,3,2,Middle,,Python,,SQL,2.00,English,101-1000,58800,58000,55000,26,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Other,Grammarly
Berlin,,Full/Part-time employee,Frontend Developer,,11,5,Middle,,JavaScript / Typescript,,,3.00,English,1000+,79000,86000,72500,28,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,Invisible,Yes,ChatGPT,
Munich,,Full/Part-time employee,QA Engineer,,12,7,Lead / Staff,,PHP,,Javascript / Typescript,7.00,"English,Other",1000+,88500,92000,85000,30,,,,,40,,No,100 - 500,,No,,,Yes,Other,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Backend Developer,,16,8,Senior,,C# / .NET,,"Javascript / Typescript,SQL,Go,AWS,Terraform,Docker",4.00,English,1000+,84000,100000,81000,28,,,,,40,No,"Yes, both in 2022-2023",100 - 500,,No,,,"Yes, but only for backfilling",Financial Services,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Product Manager,,10,2,Middle,,Other,,SQL,2.00,"English,Russian",101-1000,80000,91000,90000,,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Other,,Full/Part-time employee,Tech Lead / Team Lead,,20,10,Head / Principal,,Go,,"Python,Go,Docker",6.00,English,51-100,105000,125000,120000,unlimited,,,,,40,,No,No,,No,,,Yes,Advertising Services,No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,10,7,Senior,,Go,,"PHP,SQL,AWS,Docker,Terraform",1.50,"English,Russian",1000+,99800,99800,95000,28,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,11,5,Lead / Staff,,PHP,,"Go,AWS,Docker,Terraform,SQL,PHP",5.00,English,1000+,89000,89000,85000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling",Other,No,,,,Moderate but noticeable,Yes,ChatGPT,
Karlsruhe,,Full/Part-time employee,Software Engineer,,8,8,Senior,,C / C++,,C# / .NET core,1.00,"English,German",51-100,56000,60000,,30,,,,,38,No,"Yes, in 2023",No,,Unemployed,,,Yes,Other,No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Other,Sr. Technical Project Manager,6,2,Senior,,Python,,"SQL,Go,Google Cloud",5.00,"English,Russian",101-1000,85000,102149,97750,28,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Product Manager,,15,10,Senior,,Java,,,10.00,"English,German,Russian",11-50,57000,61000,57000,28,,,,,40,,No,No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Karlsruhe,,Full/Part-time employee,Software / Solutions Architect,,15,10,Lead / Staff,,C# / .NET,,"Javascript / Typescript,Angular,SQL,Azure,Kubernetes,Docker,C# / .NET core",2.00,English,101-1000,79000,85500,85800,30,,,,,38,,No,No,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,Moderate but noticeable,Yes,Copilot,
Munich,,Full/Part-time employee,Network / Security Engineer / System Administrator,,20,1,Senior,,Python,,"AWS,Azure,Terraform",1.00,English,1000+,87000,87000,,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,8,1,Lead / Staff,,Java,,Kubernetes,4.00,English,1000+,75000,90000,,30,,,,,39,,No,500 - 1000,,No,,,Yes,Financial Services,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,DevOps,,15,1,Lead / Staff,,Other,HPC,"Other,Terraform",0.50,English,1000+,103000,103000,,30,,,,,40,,I dont know,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,17,10,Middle,,NodeJS,,"Python,NodeJS,Javascript / Typescript,SQL,Docker,Other",7.00,"English,German,Russian",1000+,85000,85000,82500,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,C-level (CTO / CEO / ...),,15,12,Head / Principal,,Other,,"Python, React",1.00,"English,German,Other",1000+,440000,900000,400000,30,,,,,40,,No,No,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,"Voluntary, it was my decision","0,0",Moderate but noticeable,No,,
Dusseldorf,,Full/Part-time employee,Mobile Developer,,5,2,Senior,,Kotlin,,"Java / Scala,Kotlin,Swift,SQL",1.00,English,51-100,80500,80500,76000,30,,,,,40,,No,over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Frontend Developer,,16,7,Senior,,JavaScript / Typescript,," React,Java / Scala",2.00,English,1000+,95000,140000,100000,unlimited,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,BI Developer / Data Engineer,,8,1,Senior,,SQL,,,0.50,English,1000+,84000,84000,,,,,,,40,No,"Yes, in 2023",500 - 1000,,Unemployed,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","3,0",Invisible,Yes,ChatGPT,
Frankfurt,,Full/Part-time employee,QA Engineer,,10,3,Senior,,JavaScript / Typescript,,Java / Scala,3.00,German,51-100,75000,75000,,30,,,,,40,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Other,Integration Engineer,12,3,Senior,,Go,,"Python,Ruby,SQL,Docker",3.00,"English,Russian",101-1000,74000,74000,75000,25,,,,,40,,"Yes, in 2022",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,13,7,Senior,,Python,,"Java / Scala,SQL,Docker,Other,Kubernetes",7.00,English,1000+,70800,70800,63500,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Munich,,Full/Part-time employee,Software Engineer,,18,6,Senior,,Rust,,"SQL,Other,AWS,Kubernetes,Docker,Java / Scala",1.00,English,101-1000,149000,149000,145000,25,,,,,40,,No,over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,Copilot,
Berlin,,Full/Part-time employee,Mobile Developer,,12,5,Lead / Staff,,Swift,,"Kotlin,Python",5.00,English,11-50,90000,90000,90000,30,,,,,36,No,"Yes, both in 2022-2023",No,,No,,,Yes,Healthcare,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Software Engineer,,10,2,Senior,,C / C++,,"Python,Javascript / Typescript",2.00,English,1000+,80000,85000,82000,30,,,,,40,No,"Yes, both in 2022-2023",100 - 500,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,Copilot,
Berlin,,Unemployed,Other,,17,8,Senior,,Java,,"Kubernetes,Docker,Google Cloud",,English,101-1000,,,,,,,,,,"Yes, I am satisfied with a severance package","Yes, in 2023",No,,Full/Part-time employee,"Yes, actively ",8,Yes,Other,No,,,,Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,Frontend Developer,,4,1,Middle,,JavaScript / Typescript,,"Python, React,AWS,Terraform,Kubernetes,Docker",1.50,English,1000+,67000,75000,,30,,,,,40,No,"Yes, in 2023",500 - 1000,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Software Engineer,,12,4,Senior,,Kotlin,,"Javascript / Typescript,Java / Scala,Python",1.00,English,1000+,95000,135000,87000,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","3,0",Moderate but noticeable,Yes,Other,Codewhisperer
Berlin,,Full/Part-time employee,Frontend Developer,,8,3,Senior,,JavaScript / Typescript,,"Docker,NodeJS, React,Javascript / Typescript",3.00,English,1000+,72000,76000,76000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Self-employed (freelancer),DevOps,,15,10,Lead / Staff,,JavaScript / Typescript,,"Python,SQL,AWS,Google Cloud,Kubernetes,Docker",1.50,English,101-1000,,,,,120,1060,10,,20,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software / Solutions Architect,,23,11,Lead / Staff,,Java,,".NET,C# / .NET core,SQL,Other,Azure",10.00,"English,German",1000+,125400,135000,129000,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Head / Principal / VP,,18,2,Head / Principal,,C# / .NET,,Javascript / Typescript,17.00,"English,Russian",1000+,120000,130000,130000,35,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Software Engineer,,20,1,Lead / Staff,,C / C++,,"C / C++,Python",10.00,"English,Russian",1000+,100000,100000,100000,30,,,,,40,,No,100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,8,1,Senior,,Other,Lua,"Python,Perl,Go,Docker,Google Cloud",1.00,"English,Russian",1000+,85000,93600,81390,30,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software / Solutions Architect,,13,4,Senior,,Java,,"Java / Scala,Kotlin,SQL,AWS,Docker",12.00,English,11-50,85000,93000,91000,30,,,,,40,,No,No,,No,,,No,Financial Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,19,4,Senior,,C / C++,,"Python,Docker,Other",2.50,"English,Russian",1000+,90000,104,98,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Designer (UI/UX),,7,17,Senior,,Other,,,17.00,English,101-1000,83000,85000,77000,Unlimited,,,,,40,,"Yes, in 2022",No,,No,,,Yes,Advertising Services,No,,,,Invisible,Yes,ChatGPT,
Munich,,Full/Part-time employee,Scrum Master / Agile Coach,,17,3,Middle,,Other,,,6.00,"English,German",1000+,128000,150000,146000,30,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Dusseldorf,,Full/Part-time employee,DevOps,,20,8,Lead / Staff,,Other,,"Python,PHP,Ruby,R,SQL,Go,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker,Other",4.00,"German,English",1000+,100000,109000,112000,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,Copilot,
Dusseldorf,,Full/Part-time employee,Frontend Developer,,8,2,Lead / Staff,,JavaScript / Typescript,,,2.00,"English,German",1000+,66000,66000,,30,,,,,40,,No,No,,No,,,No,Wholesale,No,,,,Great,Yes,ChatGPT,
Munich,,Full/Part-time employee,Software Engineer,,20,1,Senior,,C / C++,,"Go,SQL",1.00,"English,Russian",1000+,120000,125500,189000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,Other,
Other,Lübeck,Full/Part-time employee,Software Engineer,,10,4,Middle,,C# / .NET,,"C# / .NET core,Javascript / Typescript,Angular,.NET,SQL",4.00,German,101-1000,59488,60316,59000,27,,,,,40,,No,100 - 500,,No,,,No,"Manufacturing, Transportation, or Supply Chain",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Data Scientist,,8,5,Senior,,Python,,"Python,Kubernetes,Docker,SQL,Other",,English,1000+,86000,86000,80000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,ML Engineer,,5,5,Middle,,Python,,"Python,Kubernetes,Docker",0.50,"English,German",1000+,80000,10000,68000,30,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,"Voluntary, it was my decision","4,0",Great,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,ML Engineer,,5,1,Senior,,Python,,"Azure,Docker",0.50,English,11-50,80000,80000,,30,,,,,40,,No,No,,Unemployed,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","1,0",Great,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software Engineer,,30,6,Senior,,C / C++,,,6.00,English,51-100,84000,105000,,30,,,,,40,,I dont know,over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Backend Developer,,10,7,Senior,,Kotlin,,"Java / Scala,AWS",0.50,English,101-1000,93000,93000,75000,27,,,,,40,,No,100 - 500,,Full/Part-time employee,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","2,0",Invisible,No,,
